"url","twitterUrl","id","text","retweetCount","replyCount","likeCount","quoteCount","createdAt","bookmarkCount","isRetweet","isQuote"
"https://x.com/TheMichinYeoja/status/1587348370561314816","https://twitter.com/TheMichinYeoja/status/1587348370561314816","1587348370561314816","I grew up as Batang Pasig. As we live near the Pasog River, in Manila. Every time there's flood after a typhoon, I would often see helicopters flying above our neighbourhood and dropping relief goods. Kahit neck deep ang baha dati, &amp; not possible to reach us, we still get help.","0","0","0","0","Tue Nov 01 07:38:37 +0000 2022","0","false","false"
"https://x.com/aiz_c/status/1586371804708278272","https://twitter.com/aiz_c/status/1586371804708278272","1586371804708278272","The flood is approaching the middle of our street (we're at the higher end). The flood pump didn't work this time in Pasig. Lord, please make the rains stop and floods subside. Keep safe everyone.  🙏🏻 #PaengPH","0","2","1","0","Sat Oct 29 14:58:06 +0000 2022","0","false","false"
"https://x.com/TheMichinYeoja/status/1587348370561314816","https://twitter.com/TheMichinYeoja/status/1587348370561314816","1587348370561314816","I grew up as Batang Pasig. As we live near the Pasog River, in Manila. Every time there's flood after a typhoon, I would often see helicopters flying above our neighbourhood and dropping relief goods. Kahit neck deep ang baha dati, &amp; not possible to reach us, we still get help.","0","0","0","0","Tue Nov 01 07:38:37 +0000 2022","0","false","false"
"https://x.com/LarraBanoy/status/1586807245387759616","https://twitter.com/LarraBanoy/status/1586807245387759616","1586807245387759616","@C4rlsenx forgot to tell you how much im thankful, thankyou for coming to pick me up sa pasig kaninang umaga kahit naulan and baha sainyo, your actions is appreciated 💖 ilybb","0","1","1","0","Sun Oct 30 19:48:23 +0000 2022","0","false","false"
"https://x.com/nvydp/status/1586362600119742464","https://twitter.com/nvydp/status/1586362600119742464","1586362600119742464","Marikina river baha, going high tide in 1 hour. Brace yourselves","2","0","15","0","Sat Oct 29 14:21:31 +0000 2022","0","false","false"
"https://x.com/ughbeatrix/status/1586367540275871745","https://twitter.com/ughbeatrix/status/1586367540275871745","1586367540275871745","growing up in baguio, we were really privileged ‘no? (brownout at ginaw lang ang kalaban, never naging baha) now, i anxiously pray for my friends who live near marikina and low land areas… nevertheless, i hope everyone is safe and sound from the typhoon. 🙏🏻","0","0","18","0","Sat Oct 29 14:41:09 +0000 2022","0","false","false"
"https://x.com/TheMichinYeoja/status/1587348370561314816","https://twitter.com/TheMichinYeoja/status/1587348370561314816","1587348370561314816","I grew up as Batang Pasig. As we live near the Pasog River, in Manila. Every time there's flood after a typhoon, I would often see helicopters flying above our neighbourhood and dropping relief goods. Kahit neck deep ang baha dati, &amp; not possible to reach us, we still get help.","0","0","0","0","Tue Nov 01 07:38:37 +0000 2022","0","false","false"
"https://x.com/aiz_c/status/1586371804708278272","https://twitter.com/aiz_c/status/1586371804708278272","1586371804708278272","The flood is approaching the middle of our street (we're at the higher end). The flood pump didn't work this time in Pasig. Lord, please make the rains stop and floods subside. Keep safe everyone.  🙏🏻 #PaengPH","0","2","1","0","Sat Oct 29 14:58:06 +0000 2022","0","false","false"
"https://x.com/dahrkalaahk/status/1586413225390006272","https://twitter.com/dahrkalaahk/status/1586413225390006272","1586413225390006272","2ND ALARM.

17.2m water level of Marikina River as of 1:00AM, October 29, 2022. 

Manggahan Flood way, all 8 gates open.
#PaengPH","0","2","3","0","Sat Oct 29 17:42:41 +0000 2022","0","false","false"
"https://x.com/dahrkalaahk/status/1586396225439309824","https://twitter.com/dahrkalaahk/status/1586396225439309824","1586396225439309824","2ND ALARM.

17.2m water level of Marikina River as of 12:28PM, October 29, 2022. 

Manggahan Flood way, all 8 gates open.
#PaengPH","0","1","1","0","Sat Oct 29 16:35:08 +0000 2022","0","false","false"
"https://x.com/wrektangularbar/status/1586346111026880515","https://twitter.com/wrektangularbar/status/1586346111026880515","1586346111026880515","@NatsuCatSuki Youre in Rizal db? Stay safe 🥲 theyre opening all 8 flood gates in manggahan so high probability of flood. Marikina river is also at second alarm 17m high","0","0","1","0","Sat Oct 29 13:16:00 +0000 2022","0","false","false"
"https://x.com/jayres_jun/status/1586312418904285184","https://twitter.com/jayres_jun/status/1586312418904285184","1586312418904285184","Been helping Sir Jun in making flood maps for quite some time now. Just seeing the flood affected population breaks my heart whenever it rains like this. Also yong sitwasyon parati sa Marikina river pero sa pagkakaalala ko walang pumping station doon banda na area.","0","0","0","0","Sat Oct 29 11:02:07 +0000 2022","0","false","false"
"https://x.com/jheng_0406/status/1586279543492706310","https://twitter.com/jheng_0406/status/1586279543492706310","1586279543492706310","To all my fellow residents in Marikina,
Let's all be careful .. 
Marikina River is increasing fast ..

Those who live in low-lying areas, evacuate if necessary .. 

Pepare and evacuate those who will affected by the flood ..

God bless us all Marikeños .. Kaya natin to ...","3","0","13","1","Sat Oct 29 08:51:29 +0000 2022","0","false","false"
"https://x.com/blnqts1/status/1586162330781773824","https://twitter.com/blnqts1/status/1586162330781773824","1586162330781773824","@MMDA flood reports please for Aurora blvd going to SM Sta. mesa coming from Marikina. Thank you.","0","1","0","0","Sat Oct 29 01:05:43 +0000 2022","0","false","false"
"https://x.com/ughbeatrix/status/1586367540275871745","https://twitter.com/ughbeatrix/status/1586367540275871745","1586367540275871745","growing up in baguio, we were really privileged ‘no? (brownout at ginaw lang ang kalaban, never naging baha) now, i anxiously pray for my friends who live near marikina and low land areas… nevertheless, i hope everyone is safe and sound from the typhoon. 🙏🏻","0","0","18","0","Sat Oct 29 14:41:09 +0000 2022","0","false","false"
"https://x.com/nvydp/status/1586362600119742464","https://twitter.com/nvydp/status/1586362600119742464","1586362600119742464","Marikina river baha, going high tide in 1 hour. Brace yourselves","2","0","15","0","Sat Oct 29 14:21:31 +0000 2022","0","false","false"
"https://x.com/nrkvade/status/1586353867981479936","https://twitter.com/nrkvade/status/1586353867981479936","1586353867981479936","stay safe for those who live in marikina i heard na may baha na don stay safe moots :)","0","0","0","0","Sat Oct 29 13:46:49 +0000 2022","0","false","false"
"https://x.com/TheMichinYeoja/status/1587348370561314816","https://twitter.com/TheMichinYeoja/status/1587348370561314816","1587348370561314816","I grew up as Batang Pasig. As we live near the Pasog River, in Manila. Every time there's flood after a typhoon, I would often see helicopters flying above our neighbourhood and dropping relief goods. Kahit neck deep ang baha dati, &amp; not possible to reach us, we still get help.","0","0","0","0","Tue Nov 01 07:38:37 +0000 2022","0","false","false"
"https://x.com/LarraBanoy/status/1586807245387759616","https://twitter.com/LarraBanoy/status/1586807245387759616","1586807245387759616","@C4rlsenx forgot to tell you how much im thankful, thankyou for coming to pick me up sa pasig kaninang umaga kahit naulan and baha sainyo, your actions is appreciated 💖 ilybb","0","1","1","0","Sun Oct 30 19:48:23 +0000 2022","0","false","false"
"https://x.com/dahrkalaahk/status/1586413225390006272","https://twitter.com/dahrkalaahk/status/1586413225390006272","1586413225390006272","2ND ALARM.

17.2m water level of Marikina River as of 1:00AM, October 29, 2022. 

Manggahan Flood way, all 8 gates open.
#PaengPH","0","2","3","0","Sat Oct 29 17:42:41 +0000 2022","0","false","false"
"https://x.com/blnqts1/status/1586162330781773824","https://twitter.com/blnqts1/status/1586162330781773824","1586162330781773824","@MMDA flood reports please for Aurora blvd going to SM Sta. mesa coming from Marikina. Thank you.","0","1","0","0","Sat Oct 29 01:05:43 +0000 2022","0","false","false"
"https://x.com/wrektangularbar/status/1586346111026880515","https://twitter.com/wrektangularbar/status/1586346111026880515","1586346111026880515","@NatsuCatSuki Youre in Rizal db? Stay safe 🥲 theyre opening all 8 flood gates in manggahan so high probability of flood. Marikina river is also at second alarm 17m high","0","0","1","0","Sat Oct 29 13:16:00 +0000 2022","0","false","false"
