url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
https://x.com/RenHu2/status/1435099761959342086,https://twitter.com/RenHu2/status/1435099761959342086,1435099761959342086,"So, the storm will actually hit Manila directly!
It is predicted that winds will not be very strong as it is only a Tropical Storm at this stage, it will however bring a lot of rain! #Typhoon #CONSON (#JOLINA)

Sana hindi matindi ang #Baha! https://t.co/D9Kz56ROQK",1,4,7,0,Tue Sep 07 04:37:00 +0000 2021,0,False,False
https://x.com/_lindashi/status/1435952704258510850,https://twitter.com/_lindashi/status/1435952704258510850,1435952704258510850,"In Manila, canal widening promises to bring flood resilience, but pushes out informal settlers back to the periphery on sites that continue to be disaster prone. For some, this is only one of a series of evictions that push them ever further out. https://t.co/5ONoSQeIYi",0,1,2,0,Thu Sep 09 13:06:18 +0000 2021,0,False,False
https://x.com/PIA_NCR/status/1435534022856220678,https://twitter.com/PIA_NCR/status/1435534022856220678,1435534022856220678,"PAGASA (as of 5PM, 8 September 2021): 

Yellow Rainfall Warning for Metro Manila.

Flooding may occur in flood-prone areas.

#JolinaPH https://t.co/FfiOeGN6Mr",0,0,0,0,Wed Sep 08 09:22:36 +0000 2021,0,False,False
https://x.com/eurheda/status/1435498439853359105,https://twitter.com/eurheda/status/1435498439853359105,1435498439853359105,was doing my paperwork then emergency alarm of orange warning under metro manila. stay safe everyone! flood is over the knees in my area.,0,2,0,0,Wed Sep 08 07:01:12 +0000 2021,0,False,False
https://x.com/onenewsph/status/1435496719798587392,https://twitter.com/onenewsph/status/1435496719798587392,1435496719798587392,"WATCH | Gutter-deep flood in Taft, Manila due to Severe Tropical Storm #JolinaPH. Metro Manila is under Tropical Cyclone Wind Signal #2 as the storm is set to emerge over Manila Bay. (via News5/Marlene Alcaide) https://t.co/AAoWZOrQ1G",6,0,4,0,Wed Sep 08 06:54:22 +0000 2021,1,False,False
https://x.com/newswatchplusph/status/1435475694423724033,https://twitter.com/newswatchplusph/status/1435475694423724033,1435475694423724033,"THREAD: CNN Philippines is monitoring flood alerts around Metro Manila. Follow this thread for updates. Stay safe! https://t.co/sDo55hwVGt #JolinaPH #KikoPH 

Source: @MMDA https://t.co/8xuQi4UKfo",7,1,11,0,Wed Sep 08 05:30:50 +0000 2021,0,False,False
https://x.com/m0rinskiMD/status/1435356861193080833,https://twitter.com/m0rinskiMD/status/1435356861193080833,1435356861193080833,"Flood update po in Espana, Manila and near sites thank you @MMDA",0,0,0,0,Tue Sep 07 21:38:38 +0000 2021,0,False,False
https://x.com/drSpongklong/status/1435477625175109634,https://twitter.com/drSpongklong/status/1435477625175109634,1435477625175109634,"Flood prone (NCR) areas should find this tide monitor useful

https://t.co/wgsiMtU14u",0,0,0,0,Wed Sep 08 05:38:30 +0000 2021,0,False,False
https://x.com/manilabulletin/status/1435634042213330946,https://twitter.com/manilabulletin/status/1435634042213330946,1435634042213330946,"Las Piñas City Mayor Imelda Aguilar ordered the city’s Disaster and Risk Reduction Management Office (DRRMO) to be on 24-hour standby for possible evacuation of residents who will be affected by flooding brought by tropical depression “Jolina”.

https://t.co/Dmj4GWf2Dp",0,0,3,0,Wed Sep 08 16:00:03 +0000 2021,0,False,False
https://x.com/manilabulletin/status/1435860944857403395,https://twitter.com/manilabulletin/status/1435860944857403395,1435860944857403395,"The Philippine Coast Guard (PCG) has evacuated at least 260 families that were trapped in deep flood in Naic, Cavite due to the heavy rains brought by tropical storm “Jolina”.

https://t.co/mOnmIXXCf3",0,0,1,0,Thu Sep 09 07:01:40 +0000 2021,0,False,False
https://x.com/manilabulletin/status/1435080382085414913,https://twitter.com/manilabulletin/status/1435080382085414913,1435080382085414913,Doctors 'overworked' as COVID-19 patients flood hospitals — PCP https://t.co/AIQg4Vd6D6,2,0,6,0,Tue Sep 07 03:20:00 +0000 2021,0,False,False
